dw_over_kappa,delta_omega_rad_s,np_label,n_peaks,is_single,is_breather,is_stationary,breathing_period_rt,breathing_relstd,u_int_tail_rel_std
7.000,1.063160e+09,6,1,1,1,0,178.0,0.047857,0.047459
7.500,1.139100e+09,6,1,1,1,0,165.0,0.045604,0.045623
8.000,1.215040e+09,6,1,1,1,0,154.0,0.040865,0.041109
8.500,1.290980e+09,6,1,1,1,0,144.0,0.032748,0.032665
9.000,1.366920e+09,6,1,1,1,0,136.0,0.016261,0.016381
9.500,1.442860e+09,6,1,1,0,1,nan,0.000004,0.000013
10.000,1.518800e+09,6,1,1,0,1,nan,0.000006,0.000009
10.500,1.594740e+09,6,1,1,0,1,nan,0.000005,0.000008
11.000,1.670680e+09,6,1,1,0,1,nan,0.000004,0.000007
11.500,1.746620e+09,6,1,1,0,1,nan,0.000004,0.000006
12.000,1.822560e+09,6,1,1,0,1,nan,0.000003,0.000005
12.500,1.898500e+09,6,1,1,0,1,nan,0.000002,0.000004
13.000,1.974440e+09,6,1,1,0,1,nan,0.000002,0.000004
13.500,2.050380e+09,6,1,1,0,1,nan,0.000002,0.000004
14.000,2.126320e+09,6,1,1,0,1,nan,0.000002,0.000003
14.500,2.202260e+09,6,1,1,0,1,nan,0.000001,0.000002
15.000,2.278200e+09,6,1,1,0,1,nan,0.000002,0.000002
15.500,2.354140e+09,6,1,1,0,1,nan,0.000001,0.000002
16.000,2.430080e+09,6,1,1,0,1,nan,0.000002,0.000002
